"","Sample","Sample source","Environment","Method","Average read length","Total bases","Total read pairs","Number of contigs (>= 0 bp)","Number of contigs (>= 2000 bp)","Number of contigs (>= 5000 bp)","Number of contigs (>= 10000 bp)","Number of contigs (>= 25000 bp)","Number of contigs (>= 50000 bp)","Total length (>= 0 bp)","Total length (>= 2000 bp)","Total length (>= 5000 bp)","Total length (>= 10000 bp)","Total length (>= 25000 bp)","Total length (>= 50000 bp)","Number of contigs","Total length","N50","N90","L50","L90","Number of viral contigs","Number of VMAGs","Number of species clusters","Number of genus clusters","Number of VMAGs with taxonomy information","Number of predicted lytic VMAGs","Number of predicted lysogenic VMAGs","Number of predicted integrated prophage VMAGs","Number of CheckV low-quality VMAGs","Number of CheckV medium-quality VMAGs","Number of CheckV high-quality VMAGs","Number of CheckV not-determined"
"76","ERR598984","TARA_072_SRF","Marine","Mixed MG",98.7,18041802821,182885978,1490507,37375,5934,1337,196,53,823871148,146746490,55995901,25411220,9626228,4752902,37375,146746490,3937,2230,9884,30419,662,335,313,265,118,288,22,25,252,28,32,14
"77","ERR594355","TARA_076_DCM","Marine","Virome",98,7677594583,78311930,371324,26487,7794,2972,840,253,356689330,172094943,115916325,83129379,51472307,31261650,26487,172094943,9253,2595,3276,18892,1792,1285,1180,842,306,1123,80,82,907,179,144,44
"78","ERR599148","TARA_076_DCM","Marine","Mixed MG",97.5,12531596483,128546054,1283074,35942,8229,2223,397,111,741857565,169076908,86914739,46361846,20355431,10823181,35942,169076908,5170,2350,7762,28124,388,243,221,190,76,193,20,30,158,24,21,37
"79","ERR594354","TARA_076_SRF","Marine","Virome",97.6,7044584421,72202384,276838,20470,5991,2318,736,267,276501688,136043955,92729355,67704169,44173965,28013338,20470,136043955,9912,2598,2350,14476,1392,1108,1031,682,267,999,44,65,831,127,107,37
"80","ERR599126","TARA_076_SRF","Marine","Mixed MG",97.9,29929448507,305867322,1697370,11664,1702,303,18,0,689143051,42491903,13824484,4453883,540461,0,11664,42491903,3635,2204,3463,9637,57,39,38,35,18,35,3,1,23,7,2,7
"81","ERR594411","TARA_078_SRF","Marine","Virome",96.5,4776891507,49513102,262123,15805,4640,1798,494,161,229296515,99724959,66413648,46943015,27391547,16235350,15805,99724959,8966,2554,2109,11369,1144,768,741,514,217,711,29,28,508,113,119,17
"82","ERR599006","TARA_078_SRF","Marine","Mixed MG",97.6,28427624415,291245894,2212022,23991,3124,538,70,17,988966256,85994398,26781903,9800593,3360404,1706639,23991,85994398,3500,2183,7068,19867,175,86,86,68,40,80,4,2,66,10,8,2
"83","ERR594409","TARA_082_DCM","Marine","Virome",97.3,6460115313,66391298,142423,11650,2766,813,182,37,132690389,56161098,29769100,16630944,7588638,2628306,11650,56161098,5377,2380,2441,9071,736,583,574,367,175,548,34,1,407,82,78,6
"84","ERR599122","TARA_082_DCM","Marine","Mixed MG",97.8,28414078819,290606304,1244149,48502,12025,3877,666,151,827269418,239272397,131283883,75842360,28907867,11599756,48502,239272397,5701,2372,9842,37489,309,215,201,169,89,187,11,17,145,14,7,46
"85","ERR594377","TARA_085_DCM","Marine","Virome",97.3,6036127731,62041300,192222,15582,4557,1605,323,68,186236957,87545017,54421398,34259797,15160164,6598199,15582,87545017,7066,2506,2754,11664,881,736,728,442,219,676,34,26,619,50,35,26
"86","ERR599121","TARA_085_DCM","Marine","Mixed MG",97.1,28000372894,288401784,1141504,43198,7465,1912,320,70,732624179,177676605,74176892,36968914,14262058,5785871,43198,177676605,4176,2254,10685,34815,198,148,142,112,72,127,5,16,109,7,1,31
"87","ERR594380","TARA_109_DCM","Marine","Virome",93.4,90983786,973930,15811,223,30,5,0,0,7730868,790420,244729,83618,0,0,223,790420,3485,2156,67,185,0,0,0,0,0,0,0,0,0,0,0,0
"88","ERR599065","TARA_109_DCM","Marine","Mixed MG",98.7,11656012729,118120744,970057,31983,5989,1545,219,62,585422455,134496228,58643175,28885377,10159276,4956335,31983,134496228,4351,2272,7839,25666,0,0,0,0,0,0,0,0,0,0,0,0
